,names,scores,logfoldchanges,pvals,pvals_adj,effect_size,significance
9301,AL359921.2,-0.045005213,0.4689265,0.9641031522425916,0.9996419556685904,,Not Significant
9302,LINC01551,-0.045005213,0.42141998,0.9641031522425916,0.9996419556685904,,Not Significant
9303,AC018845.3,-0.04505937,0.45125863,0.9640599842828104,0.9996419556685904,,Not Significant
9304,BACE1-AS,-0.04505937,0.45018545,0.9640599842828104,0.9996419556685904,,Not Significant
9305,RANBP17,-0.04505937,0.42734456,0.9640599842828104,0.9996419556685904,,Not Significant
9306,ISL2,-0.04505937,0.45949775,0.9640599842828104,0.9996419556685904,,Not Significant
9307,PHYHD1,-0.04505937,0.43130702,0.9640599842828104,0.9996419556685904,,Not Significant
9308,SEMA6C,-0.04505937,0.48229557,0.9640599842828104,0.9996419556685904,,Not Significant
9309,GTSCR1,-0.04505937,0.45621058,0.9640599842828104,0.9996419556685904,,Not Significant
9310,AP000442.2,-0.04508645,0.4816025,0.9640384003424157,0.9996419556685904,,Not Significant
9311,AC044802.2,-0.04508645,0.43908736,0.9640384003424157,0.9996419556685904,,Not Significant
9312,AC073115.1,-0.045149636,0.4663056,0.9639880379173342,0.9996419556685904,,Not Significant
9313,TBC1D3L,-0.045149636,0.48512572,0.9639880379173342,0.9996419556685904,,Not Significant
9314,DDR2,-0.04516769,0.5883226,0.9639736486794049,0.9996419556685904,,Not Significant
9315,AC020909.2,-0.04550166,0.93626124,0.9637074498989631,0.9996419556685904,,Not Significant
9316,TUBG1,-0.045510687,,0.9637002553933387,0.9996419556685904,,Not Significant
9317,MRPL39,-0.045844663,,0.96343406076786,0.9996419556685904,,Not Significant
9318,INPP5F,-0.045889795,,0.9633980888331141,0.9996419556685904,,Not Significant
9319,KCNN4,-0.045971032,,0.9633333395383623,0.9996419556685904,,Not Significant
9320,RFX3-AS1,-0.046061292,1.0086926,0.9632613961611481,0.9996419556685904,,Not Significant
9321,CHMP3,-0.04624182,,0.9631175103046464,0.9996419556685904,,Not Significant
9322,FOXM1,-0.046648003,0.3843057,0.9627937715262952,0.9996419556685904,,Not Significant
9323,AC005363.2,-0.046693135,0.517567,0.9627578009285926,0.9996419556685904,,Not Significant
9324,PDCD5,-0.04670216,,0.9627506068181461,0.9996419556685904,,Not Significant
9325,TMEM168,-0.046774372,,0.9626930540437982,0.9996419556685904,,Not Significant
9326,MN1,-0.046792425,0.53378433,0.962678665880573,0.9996419556685904,,Not Significant
9327,EXPH5,-0.046792425,0.49848282,0.962678665880573,0.9996419556685904,,Not Significant
9328,AC092910.3,-0.046864636,0.53507775,0.9626211133492597,0.9996419556685904,,Not Significant
9329,HELB,-0.046936847,,0.9625635610127107,0.9996419556685904,,Not Significant
9330,PEX12,-0.046945874,0.53058547,0.9625563669843513,0.9996419556685904,,Not Significant
9331,C10orf91,-0.047045164,0.67140114,0.9624772328737253,0.9996419556685904,,Not Significant
9332,HGH1,-0.047063217,0.87753797,0.9624628448933022,0.9996419556685904,,Not Significant
9333,CENPS,-0.047279846,0.40728095,0.9622901900830543,0.9996419556685904,,Not Significant
9334,TEP1,-0.047288872,,0.9622829961709475,0.9996419556685904,,Not Significant
9335,PHOSPHO2,-0.04731595,1.094764,0.9622614144530534,0.9996419556685904,,Not Significant
9336,NUDT14,-0.047532585,,0.9620887617066952,0.9996419556685904,,Not Significant
9337,TMEM25,-0.047658954,1.6684204,0.9619880484251354,0.9996419556685904,,Not Significant
9338,SESN2,-0.04778532,,0.9618873357501283,0.9996419556685904,,Not Significant
9339,BTRC,-0.04812832,,0.9616139758453403,0.9996419556685904,,Not Significant
9340,POLA1,-0.04822761,,0.9615348461873722,0.9996419556685904,,Not Significant
9341,RPL39L,-0.04834495,,0.9614413298074387,0.9996419556685904,,Not Significant
9342,KCNH8,-0.04844424,0.5709257,0.961362200977189,0.9996419556685904,,Not Significant
9343,PANO1,-0.048453268,0.58402777,0.9613550074660279,0.9996419556685904,,Not Significant
9344,ZFP3,-0.04847132,0.76472896,0.9613406204531444,0.9996419556685904,,Not Significant
9345,PNMA5,-0.048561584,0.6702967,0.9612686855776574,0.9996419556685904,,Not Significant
9346,AL138963.1,-0.048633795,0.58945453,0.9612111379042652,0.9996419556685904,,Not Significant
9347,AC016394.1,-0.048660874,0.60659087,0.9611895575788308,0.9996419556685904,,Not Significant
9348,ITPKB-AS1,-0.048931662,0.72976476,0.9609737558910756,0.9996419556685904,,Not Significant
9349,AC097103.2,-0.049175374,0.8226354,0.9607795368164265,0.9996419556685904,,Not Significant
9350,GTSF1,-0.0491844,,0.9607723435619949,0.9996419556685904,,Not Significant
9351,TSPAN4,-0.049536426,,0.9604918091358486,0.9996419556685904,,Not Significant
9352,TET1,-0.04955448,0.34310377,0.9604774228865922,0.9996419556685904,,Not Significant
9353,AC090673.1,-0.049680848,0.5735093,0.9603767195024129,0.9996419556685904,,Not Significant
9354,WNT3,-0.049680848,0.5073624,0.9603767195024129,0.9996419556685904,,Not Significant
9355,AC015819.2,-0.049680848,0.50543875,0.9603767195024129,0.9996419556685904,,Not Significant
9356,AP001347.1,-0.049680848,0.49939287,0.9603767195024129,0.9996419556685904,,Not Significant
9357,MSMP,-0.049680848,0.50057024,0.9603767195024129,0.9996419556685904,,Not Significant
9358,PDE8B,-0.049680848,0.4982148,0.9603767195024129,0.9996419556685904,,Not Significant
9359,PRR33,-0.049680848,0.52405643,0.9603767195024129,0.9996419556685904,,Not Significant
9360,TMEM200B,-0.049680848,0.52733725,0.9603767195024129,0.9996419556685904,,Not Significant
9361,GJC2,-0.049680848,0.5566523,0.9603767195024129,0.9996419556685904,,Not Significant
9362,AC091180.2,-0.049680848,0.508068,0.9603767195024129,0.9996419556685904,,Not Significant
9363,INE2,-0.049680848,0.5130155,0.9603767195024129,0.9996419556685904,,Not Significant
9364,AL096711.2,-0.049680848,0.5136062,0.9603767195024129,0.9996419556685904,,Not Significant
9365,AL121928.1,-0.049680848,0.51789576,0.9603767195024129,0.9996419556685904,,Not Significant
9366,GOLGA8H,-0.049680848,0.4947291,0.9603767195024129,0.9996419556685904,,Not Significant
9367,GPX2,-0.049680848,0.50398684,0.9603767195024129,0.9996419556685904,,Not Significant
9368,AC138028.2,-0.049680848,0.50538933,0.9603767195024129,0.9996419556685904,,Not Significant
9369,LRRN3,-0.049680848,0.5503913,0.9603767195024129,0.9996419556685904,,Not Significant
9370,CCDC114,-0.049680848,0.5040918,0.9603767195024129,0.9996419556685904,,Not Significant
9371,LINC01873,-0.049680848,0.5234616,0.9603767195024129,0.9996419556685904,,Not Significant
9372,KDM4D,-0.049680848,0.5042569,0.9603767195024129,0.9996419556685904,,Not Significant
9373,CENPI,-0.049680848,0.5448533,0.9603767195024129,0.9996419556685904,,Not Significant
9374,AL031663.3,-0.049680848,0.52007467,0.9603767195024129,0.9996419556685904,,Not Significant
9375,AC064834.1,-0.049680848,0.487796,0.9603767195024129,0.9996419556685904,,Not Significant
9376,GPRASP2,-0.049680848,0.5023068,0.9603767195024129,0.9996419556685904,,Not Significant
9377,AC099489.3,-0.049680848,0.4921594,0.9603767195024129,0.9996419556685904,,Not Significant
9378,RYR3,-0.049680848,0.5266503,0.9603767195024129,0.9996419556685904,,Not Significant
9379,AC010809.1,-0.049680848,0.5064409,0.9603767195024129,0.9996419556685904,,Not Significant
9380,OR2T10,-0.049680848,0.508626,0.9603767195024129,0.9996419556685904,,Not Significant
9381,AC005410.2,-0.049680848,0.50165015,0.9603767195024129,0.9996419556685904,,Not Significant
